id,name
1,Arizona
2,South Dakota
3,Colorado
4,Michigan
5,South Carolina
6,Rhode Island
7,Florida
8,Hawaii
9,Maryland
10,Tennessee
11,Connecticut
12,Georgia
13,Pennsylvania
14,Vermont
15,Illinois
16,Oregon
17,Nebraska
18,Oklahoma
19,North Carolina
20,Maine
21,Wyoming
22,New Jersey
23,Alabama
24,Indiana
25,Delaware
26,New Mexico
27,Montana
28,Wisconsin
29,Virginia
30,New Hampshire
31,Minnesota
32,Massachusetts
33,Idaho
34,Nevada
35,Iowa
36,California
37,Texas
38,Arkansas
39,Ohio
40,Missouri
41,Utah
42,Kansas
43,West Virginia
44,North Dakota
45,Louisiana
46,Kentucky
47,New York
48,Washington
49,Mississippi
50,Alaska
